Final State Abbreviation Standard,Final County,CNT
IA,Jefferson County,137
#FIELD!,#FIELD!,1
IA,Davis County,1
IA,Mahaska County,23
IA,Keokuk County,17
IA,Van Buren County,18
IA,Wapello County,1
IA,Jefferson County,1
IA,Monroe County,4
IA,Van Buren County,3
IA,Appanoose County,18
IA,Appanoose County,17
IA,Van Buren County,2
IA,Appanoose County,26
IA,Keokuk County,6
IA,Mahaska County,327
IA,Jefferson County,2
IA,Appanoose County,13
IA,Wayne County,2
IA,Davis County,3
IA,Keokuk County,5
IA,Mahaska County,4
IA,Van Buren County,1
IA,Wayne County,16
IA,Keokuk County,31
IA,Appanoose County,4
IA,Appanoose County,2
IA,Mahaska County,2
IA,Des Moines County,832
IA,Lee County,10
IA,Van Buren County,3
IA,Washington County,5
IA,Des Moines County,26
IA,Lee County,4
IA,Lee County,20
IA,Van Buren County,7
IA,Lee County,245
IA,Henry County,6
IA,Van Buren County,1
IA,Lee County,238
IA,Jefferson County,1
IA,Des Moines County,50
IA,Des Moines County,12
IA,Lee County,16
IA,Louisa County,6
IA,Henry County,265
IA,Henry County,3
IA,Henry County,23
IA,Louisa County,5
IA,Henry County,1
IA,Henry County,4
IA,Des Moines County,14
IA,Van Buren County,5
IA,Louisa County,27
IA,Henry County,11
IA,Des Moines County,97
IA,Lee County,15
IA,Lee County,7
IA,Henry County,13
IA,Muscatine County,11
IA,Cedar County,3
IA,Scott County,641
IA,Scott County,40
IA,Clinton County,1
IA,Scott County,12
IA,Clinton County,6
IA,Clinton County,48
IA,Clinton County,6
IA,Clinton County,633
IA,Louisa County,25
IA,Muscatine County,7
IA,Clinton County,62
IA,Scott County,1
IA,Scott County,3
IA,Cedar County,21
IA,Scott County,108
IA,Muscatine County,6
IA,Clinton County,4
IA,Clinton County,7
IA,Louisa County,19
IA,Scott County,62
IA,Louisa County,8
IA,Johnson County,38
IA,Scott County,7
IA,Clinton County,3
IA,Scott County,1
IA,Muscatine County,2
IA,Muscatine County,5
IA,Muscatine County,561
IA,Scott County,1
IA,Muscatine County,2
IA,Scott County,3
IA,Scott County,4
IA,Muscatine County,3
IA,Cedar County,67
IA,Scott County,56
IA,Clinton County,5
IA,Muscatine County,49
IA,Clinton County,5
IA,Muscatine County,39
#FIELD!,#FIELD!,1
IA,Scott County,78
IA,Scott County,438
IA,Scott County,645
IA,Scott County,550
IA,Scott County,2
IA,Scott County,758
IA,Scott County,834
#FIELD!,#FIELD!,1
WI,Sheboygan County,10
WI,Washington County,22
WI,Ozaukee County,21
WI,Waukesha County,321
WI,Dodge County,13
WI,Waukesha County,24
WI,Fond du Lac County,46
WI,Sheboygan County,18
WI,Ozaukee County,99
WI,Sheboygan County,29
WI,Calumet County,41
WI,Manitowoc County,23
WI,Dodge County,3
WI,Washington County,16
WI,Waukesha County,35
WI,Fond du Lac County,13
WI,Sheboygan County,24
WI,Ozaukee County,22
WI,Washington County,179
WI,Sheboygan County,5
WI,Ozaukee County,111
WI,Washington County,259
WI,Waukesha County,107
WI,Dodge County,59
WI,Washington County,9
WI,Dodge County,21
WI,Dodge County,14
WI,Jefferson County,21
WI,Washington County,89
WI,Jefferson County,29
WI,Dodge County,47
WI,Washington County,61
WI,Manitowoc County,54
WI,Sheboygan County,25
WI,Waukesha County,253
WI,Waukesha County,9
WI,Dodge County,2
WI,Dodge County,42
WI,Fond du Lac County,17
WI,Dodge County,68
WI,Waukesha County,399
WI,Fond du Lac County,7
WI,Waukesha County,10
WI,Dodge County,13
WI,Calumet County,30
WI,Manitowoc County,9
WI,Fond du Lac County,10
WI,Waukesha County,248
WI,Waukesha County,2
WI,Sheboygan County,16
WI,Waukesha County,251
WI,Sheboygan County,187
WI,Ozaukee County,66
WI,Sheboygan County,22
WI,Washington County,19
WI,Dodge County,11
WI,Fond du Lac County,12
WI,Ozaukee County,48
WI,Sheboygan County,875
WI,Sheboygan County,214
WI,Sheboygan County,88
WI,Washington County,84
WI,Calumet County,7
WI,Waukesha County,157
WI,Washington County,227
WI,Dodge County,15
WI,Ozaukee County,114
WI,Sheboygan County,6
WI,Jefferson County,246
WI,Washington County,304
WI,Ozaukee County,41
WI,Dodge County,105
#FIELD!,#FIELD!,1
WI,Racine County,11
WI,Waukesha County,13
WI,Kenosha County,50
WI,Racine County,282
WI,Racine County,32
WI,Milwaukee County,313
WI,Walworth County,35
WI,Walworth County,235
WI,Waukesha County,28
WI,Waukesha County,21
WI,Walworth County,93
WI,Walworth County,263
WI,Waukesha County,36
WI,Walworth County,30
WI,Racine County,62
WI,Waukesha County,1
WI,Walworth County,111
WI,Milwaukee County,131
WI,Milwaukee County,72
WI,Milwaukee County,576
-O,Lidköping Municipality County,1
#FIELD!,#FIELD!,1
WI,Jefferson County,12
WI,Racine County,19
WI,Kenosha County,733
WI,Kenosha County,2
WI,Kenosha County,654
WI,Kenosha County,536
WI,Kenosha County,616
WI,Waukesha County,52
WI,Walworth County,217
WI,Waukesha County,90
WI,Waukesha County,118
WI,Waukesha County,262
WI,Waukesha County,3
WI,Milwaukee County,656
WI,Jefferson County,17
WI,Kenosha County,263
WI,Racine County,2
WI,Kenosha County,86
WI,Kenosha County,15
WI,Milwaukee County,338
NW,Cologne County,1
WI,Racine County,206
WI,Jefferson County,267
WI,Kenosha County,50
WI,Kenosha County,71
WI,Racine County,114
WI,Waukesha County,7
WI,Walworth County,38
WI,Racine County,93
WI,Waukesha County,479
WI,Waukesha County,605
WI,Waukesha County,298
WI,Walworth County,229
WI,Walworth County,24
WI,Walworth County,1
WI,Milwaukee County,8
WI,Milwaukee County,531
WI,Milwaukee County,78
WI,Milwaukee County,1495
WI,Milwaukee County,556
WI,Milwaukee County,1989
WI,Milwaukee County,765
WI,Milwaukee County,1628
WI,Milwaukee County,2298
WI,Milwaukee County,1601
WI,Milwaukee County,529
WI,Milwaukee County,1490
WI,Milwaukee County,280
WI,Milwaukee County,808
WI,Milwaukee County,1551
WI,Milwaukee County,1643
WI,Milwaukee County,1088
WI,Milwaukee County,2498
WI,Milwaukee County,649
WI,Milwaukee County,407
WI,Milwaukee County,885
WI,Milwaukee County,638
WI,Milwaukee County,1213
WI,Milwaukee County,850
WI,Milwaukee County,1274
WI,Milwaukee County,337
WI,Milwaukee County,314
WI,Milwaukee County,179
-O,Skara Municipality County,3
WI,Milwaukee County,680
WI,Milwaukee County,118
-O,Skara Municipality County,1
WI,Milwaukee County,1
#FIELD!,#FIELD!,1
#FIELD!,#FIELD!,1
#FIELD!,#FIELD!,1
WI,Milwaukee County,1
WI,Milwaukee County,32
MX,#FIELD!,1
WI,Racine County,2
WI,Racine County,637
WI,Racine County,789
WI,Racine County,602
WI,Racine County,666
WI,Racine County,562
WI,Racine County,4
#FIELD!,#FIELD!,1
WI,Green County,32
WI,Iowa County,22
WI,Lafayette County,9
WI,Rock County,2
WI,Iowa County,8
WI,Iowa County,12
WI,Dane County,36
#FIELD!,#FIELD!,1
WI,Lafayette County,8
WI,Rock County,1415
WI,Rock County,1
WI,Dane County,8
WI,Lafayette County,5
WI,Dane County,12
WI,Grant County,17
#FIELD!,#FIELD!,1
WI,Green County,70
WI,Green County,18
WI,Green County,9
WI,Dane County,42
WI,Rock County,45
WI,Iowa County,5
WI,Dane County,73
WI,Dane County,17
WI,Dane County,2
WI,Lafayette County,20
WI,Dane County,25
WI,Dane County,155
WI,Iowa County,60
WI,Rock County,139
WI,Rock County,52
WI,Rock County,4
WI,Jefferson County,281
WI,Lafayette County,4
WI,Iowa County,6
WI,Iowa County,3
WI,Rock County,514
WI,Rock County,535
WI,Rock County,1
WI,Rock County,429
WI,Jefferson County,100
WI,Green County,6
WI,Jefferson County,52
WI,Iowa County,8
WI,Iowa County,19
WI,Columbia County,66
WI,Richland County,15
WI,Dodge County,5
WI,Dane County,85
WI,Dane County,45
WI,Dane County,324
WI,Sauk County,38
WI,Dane County,199
WI,Rock County,160
WI,Iowa County,41
WI,Green County,160
WI,Grant County,3
WI,Green County,11
WI,Dane County,1
WI,Dane County,60
WI,Grant County,19
WI,Green County,25
WI,Dane County,119
WI,Rock County,26
WI,Sauk County,12
WI,Sauk County,28
WI,Dodge County,7
WI,Iowa County,2
WI,Richland County,79
WI,Sauk County,47
WI,Walworth County,17
WI,Lafayette County,19
WI,Lafayette County,10
WI,Sauk County,19
WI,Dane County,162
WI,Dane County,525
#FIELD!,#FIELD!,1
WI,Dane County,144
WI,Jefferson County,58
WI,Dane County,135
WI,Dane County,38
WI,Dane County,1
WI,Dane County,1
WI,Dane County,274
WI,Dane County,911
WI,Dane County,230
WI,Dane County,45
WI,Dane County,1
WI,Dane County,2
WI,Dane County,546
WI,Dane County,731
WI,Dane County,261
WI,Dane County,91
WI,Dane County,259
WI,Dane County,148
WI,Dane County,208
WI,Dane County,483
WI,Dane County,1
WI,Dane County,27
WI,Dane County,1
#FIELD!,Mayenne County,1
WI,Grant County,6
WI,Grant County,1
WI,Lafayette County,12
WI,Grant County,7
WI,Grant County,50
WI,Grant County,13
WI,Grant County,41
WI,Grant County,17
WI,Grant County,34
WI,Grant County,2
WI,Grant County,18
WI,Grant County,44
WI,Grant County,9
WI,Grant County,2
WI,Grant County,108
WI,Grant County,17
WI,Crawford County,88
WI,Grant County,1
WI,Crawford County,9
WI,Grant County,1
02,#FIELD!,1
WI,Columbia County,255
WI,Adams County,67
WI,Columbia County,5
WI,Sauk County,348
#FIELD!,#FIELD!,1
WI,Dodge County,393
WI,Fond du Lac County,27
WI,Marquette County,4
WI,Dodge County,7
WI,Columbia County,28
WI,Richland County,3
WI,Columbia County,47
WI,Green Lake County,7
WI,Columbia County,1
WI,Juneau County,19
WI,Marquette County,29
WI,Fond du Lac County,5
WI,Columbia County,25
WI,Dodge County,46
WI,Adams County,51
WI,Columbia County,2
WI,Adams County,53
WI,Sauk County,3
WI,Sauk County,8
WI,Sauk County,24
WI,Sauk County,5
WI,Juneau County,25
WI,Green Lake County,73
WI,Green Lake County,2
WI,Juneau County,94
WI,Marquette County,47
WI,Juneau County,74
WI,Sauk County,16
WI,Marquette County,34
WI,Marquette County,1
WI,Columbia County,77
WI,Columbia County,33
WI,Columbia County,12
WI,Sauk County,164
WI,Columbia County,18
WI,Sauk County,8
WI,Fond du Lac County,190
WI,Marquette County,28
WI,Adams County,300
WI,Juneau County,11
WI,Columbia County,2
#FIELD!,#FIELD!,7
WI,Polk County,108
WI,St. Croix County,61
WI,Pierce County,3
WI,Polk County,11
WI,Polk County,29
WI,Polk County,6
WI,St. Croix County,8
WI,Polk County,23
WI,Pierce County,60
52,Province of Massa and Carrara County,1
WI,St. Croix County,31
WI,Pierce County,27
WI,St. Croix County,19
WI,St. Croix County,232
WI,St. Croix County,275
#FIELD!,#FIELD!,1
WI,Polk County,100
WI,Pierce County,96
WI,Pierce County,192
WI,St. Croix County,26
WI,Polk County,101
WI,St. Croix County,43
WI,St. Croix County,13
WI,St. Croix County,4
WI,St. Croix County,42
#FIELD!,#FIELD!,2
WI,St. Croix County,5
WI,Oconto County,7
WI,#FIELD!,5
WI,Forest County,3
WI,Marinette County,2
WI,Outagamie County,21
WI,Shawano County,28
WI,Calumet County,32
WI,Shawano County,16
WI,Marinette County,12
WI,Outagamie County,30
WI,Marinette County,42
WI,Brown County,409
WI,Marinette County,5
WI,Florence County,16
WI,Calumet County,3
WI,Oconto County,34
WI,Marinette County,2
WI,Brown County,13
WI,Shawano County,24
WI,Calumet County,18
WI,Outagamie County,250
WI,Menominee County,57
WI,Outagamie County,87
WI,Shawano County,1
WI,Oconto County,14
WI,Oconto County,12
WI,Outagamie County,87
WI,Oconto County,12
WI,Marinette County,243
WI,Oconto County,6
WI,Menominee County,14
WI,Marinette County,26
WI,Oconto County,91
WI,Oconto County,61
WI,Brown County,72
WI,Marinette County,25
WI,Marinette County,35
WI,#FIELD!,6
WI,Marinette County,18
WI,Brown County,54
WI,Outagamie County,38
WI,Shawano County,216
EX,#FIELD!,3
WI,Calumet County,8
WI,Outagamie County,11
WI,Oconto County,14
WI,Brown County,28
WI,Oconto County,19
WI,Oconto County,10
WI,Marinette County,21
WI,Brown County,23
WI,Kewaunee County,93
WI,Door County,6
WI,Door County,9
WI,Kewaunee County,12
WI,Brown County,69
WI,Door County,6
WI,Door County,2
WI,Door County,4
WI,Door County,3
WI,Door County,3
WI,Manitowoc County,1
WI,Kewaunee County,28
WI,Kewaunee County,49
WI,Manitowoc County,593
WI,Manitowoc County,1
WI,Manitowoc County,16
WI,Manitowoc County,22
WI,Brown County,23
WI,Manitowoc County,12
WI,Manitowoc County,7
WI,Door County,26
WI,Door County,139
-O,Mariestad Municipality County,1
WI,Manitowoc County,161
WI,Manitowoc County,9
WI,Door County,5
WI,Manitowoc County,10
#FIELD!,#FIELD!,1
WI,Brown County,397
WI,Brown County,799
WI,Brown County,1028
WI,Brown County,926
WI,Brown County,2
WI,Brown County,2
WI,Brown County,1
WI,Brown County,356
WI,Brown County,400
RP,Trier-Saarburg County,1
#FIELD!,#FIELD!,1
WI,Brown County,1
WI,Marathon County,437
WI,Marathon County,655
WI,Marathon County,20
WI,Portage County,30
WI,Portage County,5
WI,Shawano County,4
WI,Langlade County,164
WI,Wood County,9
WI,Marathon County,19
WI,Wood County,10
WI,Shawano County,9
WI,Shawano County,52
WI,Langlade County,7
WI,Marathon County,64
WI,Clark County,7
WI,Portage County,9
WI,Langlade County,10
WI,Clark County,8
WI,Marathon County,31
WI,Shawano County,10
WI,Langlade County,10
WI,Taylor County,4
WI,Lincoln County,3
WI,Clark County,13
WI,Clark County,15
WI,Marathon County,12
WI,Wood County,3
WI,Lincoln County,6
WI,Portage County,9
WI,Clark County,21
WI,Marathon County,15
WI,Wood County,283
WI,Shawano County,2
WI,Taylor County,93
WI,Lincoln County,226
WI,Wood County,4
WI,Marathon County,107
WI,Clark County,50
WI,Wood County,74
WI,Price County,5
WI,Clark County,6
WI,Langlade County,1
WI,Oneida County,7
WI,Langlade County,7
WI,Wood County,19
WI,Portage County,198
WI,Wood County,12
WI,Taylor County,14
WI,Marathon County,6
WI,Portage County,3
WI,Marathon County,36
WI,Wood County,15
WI,Marathon County,228
WI,Marathon County,17
WI,Taylor County,8
WI,Portage County,418
WI,Portage County,87
WI,Marathon County,35
WI,Shawano County,23
WI,Lincoln County,59
WI,Clark County,4
WI,Wood County,3
WI,Taylor County,1
WI,Langlade County,22
WI,Clark County,1
WI,Wood County,383
WI,Wood County,175
WI,Clark County,6
WI,Shawano County,48
WI,Oneida County,261
WI,Forest County,6
WI,Vilas County,7
WI,Price County,3
WI,Ashland County,22
WI,Price County,3
#FIELD!,#FIELD!,1
WI,Ashland County,1
RP,Bernkastel-Wittlich County,1
WI,Vilas County,4
WI,Forest County,81
WI,Vilas County,161
WI,Price County,7
WI,Iron County,4
WI,Rusk County,7
WI,Ashland County,16
WI,Oneida County,8
WI,Rusk County,2
WI,Oneida County,2
WI,Iron County,25
WI,Iron County,1
WI,Price County,4
WI,Vilas County,51
WI,Oneida County,3
WI,Vilas County,4
WI,Forest County,7
WI,Florence County,11
WI,Vilas County,5
WI,Iron County,5
WI,Oneida County,168
WI,Iron County,3
WI,Price County,41
WI,Vilas County,3
WI,Price County,64
WI,Price County,9
WI,Vilas County,7
WI,Vilas County,14
WI,Iron County,38
WI,Vilas County,16
WI,Oneida County,9
WI,Rusk County,1
WI,Oneida County,3
WI,Iron County,1
WI,Forest County,59
WI,Oneida County,76
#FIELD!,#FIELD!,28
WI,La Crosse County,605
WI,La Crosse County,1
WI,La Crosse County,331
WI,Buffalo County,28
WI,Jackson County,5
WI,Trempealeau County,41
WI,Adams County,19
WI,La Crosse County,14
WI,Jackson County,1253
WI,Trempealeau County,14
WI,Juneau County,26
WI,Monroe County,21
WI,Vernon County,2
WI,Buffalo County,25
WI,Vernon County,11
WI,Vernon County,6
WI,Trempealeau County,1
WI,Crawford County,6
WI,Trempealeau County,8
WI,Crawford County,1
WI,Buffalo County,19
WI,Trempealeau County,17
WI,Crawford County,8
WI,Vernon County,2
WI,Vernon County,17
WI,Jackson County,6
WI,La Crosse County,118
WI,Juneau County,1
WI,Monroe County,5
WI,Vernon County,24
WI,Jackson County,13
WI,La Crosse County,9
WI,Juneau County,47
WI,Monroe County,3
WI,La Crosse County,348
WI,Vernon County,12
WI,Vernon County,4
WI,La Crosse County,5
WI,Crawford County,14
WI,Monroe County,248
WI,Crawford County,1
WI,Vernon County,26
WI,Jackson County,7
WI,Monroe County,284
WI,Trempealeau County,37
WI,Richland County,12
WI,Vernon County,41
WI,Monroe County,39
WI,Vernon County,37
WI,La Crosse County,81
WI,Monroe County,14
WI,Eau Claire County,667
WI,Eau Claire County,700
WI,Eau Claire County,125
WI,Pepin County,13
WI,Eau Claire County,40
WI,Pierce County,10
WI,Chippewa County,54
WI,Dunn County,19
WI,Chippewa County,16
WI,Chippewa County,47
WI,Barron County,62
WI,Chippewa County,612
WI,Dunn County,29
WI,Rusk County,4
WI,Chippewa County,33
WI,Barron County,8
WI,Dunn County,2
WI,Dunn County,2
WI,Pepin County,62
WI,Dunn County,2
WI,Trempealeau County,14
WI,Dunn County,37
WI,Pierce County,33
WI,Eau Claire County,6
WI,Eau Claire County,30
WI,Chippewa County,11
WI,Clark County,1
WI,Trempealeau County,353
WI,Chippewa County,11
WI,Dunn County,10
WI,Pierce County,17
WI,Dunn County,302
WI,Jackson County,18
WI,Buffalo County,23
WI,Buffalo County,5
WI,Chippewa County,34
WI,Trempealeau County,31
WI,Pepin County,3
WI,Pierce County,1
WI,Barron County,8
WI,Dunn County,12
WI,Monroe County,1
WI,Pierce County,12
WI,Chippewa County,37
WI,Pepin County,2
WI,Trempealeau County,45
WI,Clark County,33
WI,Dunn County,11
WI,Trempealeau County,27
#FIELD!,#FIELD!,1
WI,Washburn County,61
WI,Barron County,25
WI,Ashland County,128
WI,Polk County,24
WI,Barron County,54
WI,Barron County,7
WI,Bayfield County,37
WI,Washburn County,57
WI,Rusk County,29
WI,Douglas County,2
WI,Bayfield County,15
WI,Barron County,38
WI,Polk County,41
WI,Barron County,12
WI,Bayfield County,1
WI,Sawyer County,2
WI,Barron County,42
WI,Burnett County,41
WI,Bayfield County,3
WI,Sawyer County,3
WI,Douglas County,4
WI,Polk County,16
WI,Douglas County,9
WI,Burnett County,61
WI,Barron County,1
WI,Sawyer County,119
WI,Bayfield County,2
WI,Ashland County,4
WI,Bayfield County,9
WI,Rusk County,73
WI,Douglas County,13
WI,Polk County,152
WI,Douglas County,2
WI,Ashland County,3
WI,Bayfield County,6
WI,Barron County,1
WI,Polk County,22
WI,Washburn County,20
WI,Ashland County,4
WI,Sawyer County,2
WI,Douglas County,9
WI,Bayfield County,1
WI,Sawyer County,5
WI,Barron County,282
WI,Washburn County,8
WI,Washburn County,35
WI,Burnett County,22
WI,Douglas County,10
WI,Douglas County,21
WI,Washburn County,4
WI,Sawyer County,17
WI,Douglas County,574
WI,Washburn County,23
WI,Barron County,63
WI,Bayfield County,14
WI,Burnett County,31
WI,Rusk County,17
WI,Sawyer County,18
WI,Winnebago County,761
WI,Winnebago County,416
WI,Winnebago County,229
#FIELD!,#FIELD!,1
WI,Portage County,10
ES,Meurthe-et-Moselle County,1
WI,Outagamie County,688
WI,Outagamie County,1
WI,Outagamie County,195
WI,Outagamie County,646
WI,Outagamie County,811
WI,Portage County,7
WI,Outagamie County,7
WI,Green Lake County,130
WI,Winnebago County,3
WI,Shawano County,1
WI,Waupaca County,120
WI,Waushara County,10
WI,Outagamie County,3
WI,Fond du Lac County,6
WI,Waupaca County,3
WI,Fond du Lac County,881
WI,Fond du Lac County,208
WI,Waupaca County,31
WI,Green Lake County,26
WI,Outagamie County,77
WI,Waushara County,17
WI,Outagamie County,90
WI,Waupaca County,16
WI,Winnebago County,49
WI,Waupaca County,26
WI,Waupaca County,27
WI,Winnebago County,512
WI,Winnebago County,559
#FIELD!,#FIELD!,1
WI,Marquette County,17
WI,Waupaca County,179
WI,Waupaca County,2
WI,Winnebago County,81
WI,Winnebago County,4
WI,Waushara County,6
WI,Waushara County,29
WI,Waushara County,1
WI,Green Lake County,31
WI,Waushara County,41
WI,Fond du Lac County,126
WI,Fond du Lac County,9
WI,Waupaca County,4
WI,Fond du Lac County,11
WI,Waupaca County,249
WI,Waushara County,62
WI,Waupaca County,25
WI,Waushara County,29
WI,Winnebago County,33
MN,Washington County,22
MN,Washington County,12
MN,Anoka County,73
MN,Isanti County,50
MN,Pine County,29
MN,Isanti County,224
MN,Goodhue County,57
MN,Anoka County,81
MN,Chisago County,19
MN,Chisago County,43
MN,Anoka County,273
MN,Washington County,404
MN,Isanti County,18
MN,Goodhue County,8
MN,Rice County,22
#FIELD!,#FIELD!,25
MN,Rice County,598
MN,Dakota County,462
MN,Washington County,276
MN,Goodhue County,3
MN,Goodhue County,13
MN,Isanti County,2
MN,Kanabec County,8
MN,Dakota County,11
MN,Chisago County,21
MN,Dakota County,331
MN,Pine County,2
MN,Pine County,105
MN,Washington County,128
MN,Isanti County,366
MN,Wabasha County,37
MN,Washington County,190
MN,Washington County,16
MN,Dakota County,479
MN,Chisago County,71
MN,Rice County,39
MN,Washington County,6
#FIELD!,#FIELD!,1
MN,Steele County,31
MN,Kanabec County,107
MN,Rice County,22
MN,Rice County,2
MN,Scott County,8
MN,Washington County,69
MN,Chisago County,137
MN,Rice County,184
MN,Steele County,490
MN,Pine County,123
MN,Dakota County,168
MN,Goodhue County,420
MN,Dakota County,232
MN,Chisago County,170
MN,Anoka County,255
MN,Washington County,75
MN,Pine County,45
MN,Washington County,47
MN,Chisago County,8
MN,Dakota County,391
MN,Dakota County,265
MN,Dakota County,198
MN,Chisago County,125
MN,Isanti County,25
MN,Washington County,377
MN,Chisago County,17
MN,Dakota County,1
MN,Rice County,13
MN,Goodhue County,77
MN,Washington County,2
MN,Chisago County,72
14,#FIELD!,1
MN,Ramsey County,240
MN,Ramsey County,439
MN,Ramsey County,546
MN,Ramsey County,992
MN,Ramsey County,225
MN,Ramsey County,1502
MN,Ramsey County,405
MN,Ramsey County,193
MN,Ramsey County,702
MN,Ramsey County,307
MN,Ramsey County,28
MN,Ramsey County,593
MN,Ramsey County,503
MN,Ramsey County,162
MN,Ramsey County,67
MN,Ramsey County,186
MN,Ramsey County,918
MN,Ramsey County,888
MN,Ramsey County,789
MN,Ramsey County,109
MN,Ramsey County,246
MN,Ramsey County,344
MN,Ramsey County,202
MN,Ramsey County,796
MN,Ramsey County,542
MN,Ramsey County,182
MN,Ramsey County,112
MN,Ramsey County,379
MN,Ramsey County,165
MN,Ramsey County,704
MN,Dakota County,6
MN,Ramsey County,2
#FIELD!,Náchod District County,1
RP,Alzey-Worms County,1
#FIELD!,#FIELD!,1
RP,Alzey-Worms County,1
MN,Wright County,143
MN,Wright County,62
MN,Anoka County,706
MN,Anoka County,537
MN,Hennepin County,191
MN,Dakota County,229
MN,Sibley County,47
MN,Sherburne County,69
MN,Sherburne County,176
MN,Renville County,7
MN,Hennepin County,212
MN,McLeod County,11
MN,Wright County,233
MN,Renville County,14
MN,Carver County,36
MN,Hennepin County,305
MN,Hennepin County,101
MN,Carver County,326
MN,Sherburne County,28
MN,Stearns County,45
MN,Wright County,80
MN,Carver County,24
MN,Meeker County,5
MN,Meeker County,32
MN,Hennepin County,25
MN,Wright County,72
MN,Meeker County,23
MN,Sherburne County,513
MN,Hennepin County,60
MN,Renville County,14
MN,Renville County,3
MN,Sibley County,63
MN,Sibley County,14
MN,McLeod County,64
MN,Dakota County,847
MN,Sibley County,5
MN,Carver County,9
MN,Hennepin County,46
MN,Hennepin County,13
MN,Renville County,17
MN,Hennepin County,310
MN,Hennepin County,225
MN,Hennepin County,190
MN,Hennepin County,111
MN,Hennepin County,355
MN,Wright County,32
MN,McLeod County,240
MN,Scott County,91
MN,Stearns County,23
MN,McLeod County,25
MN,Meeker County,97
MN,Hennepin County,69
MN,Hennepin County,16
MN,Wright County,48
MN,Hennepin County,62
MN,Carver County,16
MN,Wright County,204
MN,Wright County,42
MN,Hennepin County,92
MN,Sibley County,4
MN,Carver County,5
MN,Carver County,14
MN,Hennepin County,388
MN,McLeod County,2
MN,Mille Lacs County,228
MN,Scott County,287
MN,Hennepin County,75
MN,Hennepin County,275
MN,Hennepin County,20
MN,Wright County,186
MN,Scott County,221
MN,Scott County,565
MN,McLeod County,17
MN,Wright County,13
MN,Hennepin County,12
MN,McLeod County,2
MN,Carver County,23
MN,Carver County,98
MN,Carver County,22
MN,Meeker County,9
MN,Wright County,17
MN,Hennepin County,82
#FIELD!,#FIELD!,1
MN,McLeod County,15
MN,Sibley County,27
MN,Carver County,13
MN,Sherburne County,166
MN,Hennepin County,247
MN,Hennepin County,84
MN,Hennepin County,604
MN,Hennepin County,1172
MN,Hennepin County,278
MN,Hennepin County,384
MN,Hennepin County,848
MN,Hennepin County,744
MN,Hennepin County,164
MN,Hennepin County,160
MN,Hennepin County,1245
MN,Hennepin County,1160
MN,Hennepin County,282
MN,Hennepin County,557
MN,Hennepin County,128
MN,Hennepin County,354
MN,Hennepin County,240
MN,Hennepin County,367
MN,Hennepin County,266
MN,Hennepin County,449
MN,Hennepin County,572
MN,Hennepin County,491
MN,Hennepin County,683
MN,Hennepin County,46
MN,Hennepin County,260
MN,Hennepin County,295
MN,Hennepin County,566
MN,Hennepin County,620
MN,Hennepin County,989
MN,Hennepin County,612
MN,Hennepin County,305
MN,Hennepin County,775
MN,Hennepin County,656
MN,Hennepin County,507
MN,Hennepin County,133
MN,Hennepin County,91
MN,Hennepin County,192
MN,Hennepin County,206
MN,Hennepin County,61
MN,Hennepin County,2
MN,Hennepin County,239
MN,Hennepin County,73
MN,Hennepin County,659
MN,Hennepin County,253
MN,Hennepin County,234
MN,Hennepin County,123
MN,Hennepin County,183
MN,Hennepin County,464
MN,Hennepin County,464
MN,Hennepin County,65
MN,Hennepin County,149
MN,Hennepin County,51
MN,Hennepin County,1
RP,Rhein-Hunsrück-Kreis County,1
#FIELD!,#FIELD!,2
YO,#FIELD!,1
MN,Lake County,1
MN,Cook County,16
MN,Cook County,21
MN,Lake County,1
MN,Cook County,5
MN,Cook County,1
MN,Lake County,17
MN,Cook County,8
MN,Lake County,45
#FIELD!,#FIELD!,1
MN,St. Louis County,8
MN,St. Louis County,3
MN,Pine County,8
MN,St. Louis County,23
MN,St. Louis County,16
MN,Carlton County,16
MN,St. Louis County,12
MN,Itasca County,31
MN,St. Louis County,6
MN,St. Louis County,1
MN,Pine County,3
MN,St. Louis County,2
#FIELD!,#FIELD!,1
MN,Itasca County,2
MN,St. Louis County,1
MN,Carlton County,29
MN,St. Louis County,67
MN,Carlton County,247
MN,Itasca County,27
MN,Itasca County,56
MN,St. Louis County,13
MN,St. Louis County,3
MN,St. Louis County,2
MN,Carlton County,7
MN,St. Louis County,34
MN,St. Louis County,15
MN,Carlton County,35
MN,St. Louis County,64
MN,Pine County,14
MN,St. Louis County,7
MN,St. Louis County,1
MN,St. Louis County,13
MN,Itasca County,1
#FIELD!,#FIELD!,1
MN,Itasca County,263
MN,St. Louis County,556
MN,Aitkin County,8
MN,St. Louis County,18
MN,St. Louis County,5
MN,Aitkin County,1
MN,Itasca County,25
MN,Pine County,1
MN,St. Louis County,3
MN,Aitkin County,27
MN,St. Louis County,4
MN,Itasca County,8
MN,St. Louis County,1
MN,Carlton County,18
MN,St. Louis County,68
MN,Itasca County,20
MN,St. Louis County,17
RP,Birkenfeld County,19
MN,Itasca County,9
MN,St. Louis County,1
MN,St. Louis County,23
MN,Carlton County,1
MN,St. Louis County,1
MN,St. Louis County,6
MN,Pine County,16
MN,Aitkin County,1
MN,Aitkin County,5
MN,St. Louis County,16
MN,St. Louis County,148
MN,Itasca County,2
MN,Pine County,8
MN,Carlton County,10
MN,Carlton County,1
